tt0000417,Georges Méliès|Victor André|Bleuette Bernon
tt0000439,Donald Gallaher|Gilbert M. 'Broncho Billy' Anderson|A.C. Abadie|George Barnes|Justus D. Barnes|Walter Cameron
tt0000516,Segundo de Chomón
tt0004972,Lillian Gish|Mae Marsh|Henry B. Walthall
tt0006333,Allen Holubar|Dan Hanlon|Edna Pendleton
tt0006864,Lillian Gish|Robert Harron|Mae Marsh
tt0007264,Leota Bryan|Charles Chaplin|Edna Purviance|James T. Kelley|Eric Campbell|Henry Bergman
tt0007361,Dorothy Cumming|Creighton Hale|Lionel Braham
tt0008133,Charles Chaplin|Edna Purviance|Eric Campbell
tt0010040,Lillian Langdon|Mary Pickford|Milla Davenport|Percy Haswell|Fay Lemport
tt0010323,Werner Krauss|Conrad Veidt|Friedrich Feher
tt0011541,Buster Keaton|Sybil Seely
tt0012349,B.F. Blinn|Charles Chaplin|Edna Purviance|Jackie Coogan|Carl Miller|Albert Austin|Beulah Bains|Nellie Bly Baker|Henry Bergman
tt0013442,Max Schreck|Alexander Granach|Gustav von Wangenheim
tt0014142,Lon Chaney|Patsy Ruth Miller|Norman Kerry
tt0014341,Buster Keaton|Natalie Talmadge|Joe Keaton
tt0014429,Harold Lloyd|Mildred Davis|Bill Strother
tt0014624,Nellie Bly Baker|Edna Purviance|Clarence Geldert|Carl Miller|Lydia Knott|Charles K. French|Adolphe Menjou|Betty Morrissey
tt0014646,Yuliya Solntseva|Igor Ilyinsky|Nikolai Tsereteli
tt0015163,Buster Keaton|Kathryn McGuire|Frederick Vroom
tt0015324,Buster Keaton|Kathryn McGuire|Joe Keaton
tt0015400,Douglas Fairbanks|Julanne Johnston|Snitz Edwards
tt0015648,Aleksandr Antonov|Vladimir Barskiy|Grigoriy Aleksandrov
tt0015841,Harold Lloyd|Jobyna Ralston|Brooks Benedict
tt0015864,Frank Aderias|Charles Chaplin|Mack Swain|Tom Murray|Henry Bergman|Malcolm Waite|Georgia Hale
tt0015881,Gibson Gowland|Zasu Pitts|Jean Hersholt
tt0016641,Ramon Novarro|Francis X. Bushman|May McAvoy
tt0016847,Gösta Ekman|Emil Jannings|Camilla Horn
tt0016914,Werner Krauss|Ruth Weyher|Ilka Grüning
tt0017075,June Tripp|Ivor Novello|Marie Ault
tt0017136,Brigitte Helm|Alfred Abel|Gustav Fröhlich
tt0017271,Aleksandra Khokhlova|Sergey Komarov|Vladimir Fogel
tt0017416,Rudolph Valentino|Vilma Bánky|George Fawcett
tt0017739,Laura La Plante|Creighton Hale|Forrest Stanley
tt0017765,Buster Keaton|Anne Cornwall|Flora Bramley
tt0017925,Buster Keaton|Marion Mack|Glen Cavender
tt0018037,Al Jolson|May McAvoy|Warner Oland
tt0018328,Carl Brisson|Lillian Hall-Davis|Ian Hunter|Forrester Harvey|Harry Terry
tt0018455,George O'Brien|Janet Gaynor|Margaret Livingston
tt0018773,Steve Murphy|Charles Chaplin|Merna Kennedy|Al Ernest Garcia|Harry Crocker|George Davis|Henry Bergman|Tiny Sandford
tt0019254,Maria Falconetti|Eugene Silvain|André Berley
tt0019421,Buster Keaton|Tom McGuire|Ernest Torrence
tt0019729,Bessie Love|Anita Page|Charles King
tt0019760,Mikhail Kaufman
tt0019777,The Marx Brothers|Groucho Marx|Harpo Marx|Chico Marx
tt0020530,Pierre Batcheff|Simone Mareuil|Luis Buñuel
tt0020629,Lew Ayres|Louis Wolheim|John Wray
tt0020640,Groucho Marx|Harpo Marx|Chico Marx
tt0020641,James T. Mack|Greta Garbo|Charles Bickford|George F. Marion
tt0020697,Emil Jannings|Marlene Dietrich|Kurt Gerron
tt0020827,Norma Shearer|Robert Montgomery|Chester Morris
tt0021079,Edward G. Robinson|Douglas Fairbanks Jr.|Glenda Farrell
tt0021746,Richard Dix|Irene Dunne|Estelle Taylor
tt0021749,Charles Chaplin|Virginia Cherrill|Florence Lee
tt0021814,Bela Lugosi|Helen Chandler|David Manners
tt0021884,Colin Clive|Mae Clarke|Boris Karloff
tt0021890,Adolphe Menjou|Pat O'Brien|Mary Brian
tt0021910,Alan Dinehart|Kay Francis|Joel McCrea|Lilyan Tashman
tt0022002,Lew Ayres|Robert Armstrong|Jean Harlow
tt0022100,Peter Lorre|Ellen Widmann|Inge Landgut
tt0022111,Bebe Daniels|Ricardo Cortez|Dudley Digges
tt0022183,Dorothea Wieck|Hertha Thiele|Emilia Unda
tt0022286,James Cagney|Jean Harlow|Edward Woods
tt0022599,Raymond Cordy|Henri Marchand|Rolla France
tt0022718,Michel Simon|Marcelle Hainia|Sévérine Lerczinska
tt0022835,Halliwell Hobbes|Fredric March|Miriam Hopkins|Rose Hobart
tt0022879,Gary Cooper|Helen Hayes|Adolphe Menjou
tt0022913,Wallace Ford|Leila Hyams|Olga Baclanova
tt0022958,Greta Garbo|John Barrymore|Joan Crawford
tt0023027,Groucho Marx|Chico Marx|Harpo Marx
tt0023042,Paul Muni|Glenda Farrell|Helen Vinson
tt0023245,Boris Karloff|Zita Johann|David Manners
tt0023427,Paul Muni|Ann Dvorak|Karen Morley
tt0023563,Rudolf Klein-Rogge|Otto Wernicke|Thomy Bourdelle
tt0023622,Miriam Hopkins|Kay Francis|Herbert Marshall
tt0023753,Richard Arlen|Roscoe Ates|William Austin
tt0023948,Marie Dressler|John Barrymore|Wallace Beery
tt0023969,Groucho Marx|Harpo Marx|Chico Marx
tt0024025,Dolores del Rio|Gene Raymond|Raul Roulien
tt0024034,Warner Baxter|Bebe Daniels|George Brent
tt0024069,Warren William|Joan Blondell|Aline MacMahon
tt0024184,Claude Rains|Gloria Stuart|William Harrigan
tt0024216,Fay Wray|Robert Armstrong|Bruce Cabot
tt0024264,Katharine Hepburn|Joan Bennett|Paul Lukas
tt0024601,Stan Laurel|Oliver Hardy|Charley Chase
tt0024803,Madame Émile|Jean Dasté|Robert le Flon|Louis Lefebvre|Du Verron|Delphin
tt0024844,Dita Parlo|Jean Dasté|Gilles Margaritis
tt0024852,Stan Laurel|Oliver Hardy|Virginia Karns
tt0024966,Boris Babochkin|Boris Blinov|Varvara Myasnikova
tt0025164,Fred Astaire|Ginger Rogers|Alice Brady
tt0025316,Jameson Thomas|Clark Gable|Claudette Colbert|Walter Connolly
tt0025452,Leslie Banks|Edna Best|Peter Lorre
tt0025456,Colman 'Tiger' King|Maggie Dirrane|Michael Dirrane
tt0025586,Bette Davis|Leslie Howard|Frances Dee
tt0025878,William Powell|Myrna Loy|Maureen O'Sullivan
tt0025919,John Barrymore|Carole Lombard|Walter Connolly
tt0026029,Robert Donat|Madeleine Carroll|Lucie Mannheim
tt0026056,Katharine Hepburn|Fred MacMurray|Fred Stone
tt0026071,Greta Garbo|Fredric March|Freddie Bartholomew
tt0026138,Boris Karloff|Elsa Lanchester|Colin Clive
tt0026174,Errol Flynn|Olivia de Havilland|Lionel Atwill
tt0026421,Dick Powell|Adolphe Menjou|Gloria Stuart
tt0026676,W.C. Fields|Mary Brian|Kathleen Howard
tt0026714,James Cagney|Dick Powell|Ian Hunter
tt0026752,Charles Laughton|Clark Gable|Franchot Tone
tt0026778,Groucho Marx|Chico Marx|Harpo Marx
tt0026942,Irene Dunne|Fred Astaire|Ginger Rogers
tt0027075,Ronald Colman|Elizabeth Allan|Edna May Oliver
tt0027125,Fred Astaire|Ginger Rogers|Edward Everett Horton
tt0027260,William Powell|Myrna Loy|James Stewart
tt0027300,Fredric March|Olivia de Havilland|Donald Woods
tt0027630,Fred Astaire|Ginger Rogers|Randolph Scott
tt0027652,Sylvia Sidney|Spencer Tracy|Walter Abel
tt0027664,Gary Cooper|Madeleine Carroll|Akim Tamiroff
tt0027698,William Powell|Myrna Loy|Luise Rainer
tt0027884,Jean Harlow|William Powell|Myrna Loy
tt0027893,Freddie Bartholomew|Dolores Costello|C. Aubrey Smith
tt0027948,Katharine Hepburn|Fredric March|Florence Eldridge
tt0027977,Al Ernest Garcia|Charles Chaplin|Paulette Goddard|Henry Bergman|Tiny Sandford|Chester Conklin|Hank Mann
tt0027996,Douglass Dumbrille|Gary Cooper|Jean Arthur|George Bancroft
tt0028010,William Powell|Carole Lombard|Alice Brady
tt0028212,Sylvia Sidney|Oskar Homolka|Desmond Tester
tt0028216,Clark Gable|Jeanette MacDonald|Spencer Tracy
tt0028231,John Gielgud|Madeleine Carroll|Robert Young
tt0028333,Fred Astaire|Ginger Rogers|Victor Moore
tt0028346,Dorothy Short|Kenneth Craig|Lillian Miles
tt0028510,John Wayne|Phyllis Fraser|Lew Kelly
tt0028597,Irene Dunne|Cary Grant|Ralph Bellamy
tt0028683,Greta Garbo|Robert Taylor|Lionel Barrymore
tt0028691,Spencer Tracy|Freddie Bartholomew|Lionel Barrymore
tt0028772,Groucho Marx|Chico Marx|Harpo Marx
tt0028944,Paul Muni|Luise Rainer|Walter Connolly
tt0028950,Jean Gabin|Dita Parlo|Pierre Fresnay
tt0028988,Shirley Temple|Jean Hersholt|Arthur Treacher
tt0029081,Paul Robeson|Cedric Hardwicke|Roland Young
tt0029146,Paul Muni|Gale Sondergaard|Joseph Schildkraut
tt0029162,Ronald Colman|Jane Wyatt|Edward Everett Horton
tt0029192,Victor Moore|Beulah Bondi|Fay Bainter
tt0029284,Irene Dunne|Cary Grant|Randolph Scott
tt0029453,Jean Gabin|Gabriel Gabrio|Saturnin Fabre
tt0029546,Fred Astaire|Ginger Rogers|Edward Everett Horton
tt0029583,Adriana Caselotti|Harry Stockwell|Lucille La Verne
tt0029604,Katharine Hepburn|Ginger Rogers|Adolphe Menjou
tt0029606,Janet Gaynor|Fredric March|Adolphe Menjou
tt0029808,William Gargan|Sylvia Sidney|Henry Fonda|Barton MacLane
tt0029843,Errol Flynn|Olivia de Havilland|Basil Rathbone
tt0029850,Nikolay Cherkasov|Nikolai Okhlopkov|Andrei Abrikosov
tt0029870,James Cagney|Pat O'Brien|Humphrey Bogart
tt0029942,Spencer Tracy|Mickey Rooney|Henry Hull
tt0029947,Katharine Hepburn|Cary Grant|Charles Ruggles
tt0029992,Reginald Owen|Gene Lockhart|Kathleen Lockhart
tt0030241,Katharine Hepburn|Cary Grant|Doris Nolan
tt0030287,Bette Davis|Henry Fonda|George Brent
tt0030341,Margaret Lockwood|Michael Redgrave|Paul Lukas
tt0030604,Mel Blanc
tt0030608,Mel Blanc
tt0030637,Leslie Howard|Wendy Hiller|Wilfrid Lawson
tt0030947,Igor Ilyinsky|Vladimir Volodin|Pavel Olenev
tt0030993,Jean Arthur|James Stewart|Lionel Barrymore
tt0031047,William Powell|Myrna Loy|Virginia Grey
tt0031060,Groucho Marx|Chico Marx|Harpo Marx
tt0031210,Bette Davis|George Brent|Humphrey Bogart
tt0031225,Marlene Dietrich|James Stewart|Mischa Auer
tt0031381,Clark Gable|Vivien Leigh|Thomas Mitchell
tt0031385,Robert Donat|Greer Garson|Terry Kilburn
tt0031397,Jessica Dragonette|Lanny Ross|Pinto Colvig
tt0031398,Cary Grant|Joan Fontaine|Victor McLaglen
tt0031455,Charles Laughton|Maureen O'Hara|Cedric Hardwicke
tt0031505,Maureen O'Hara|Robert Newton|Charles Laughton
tt0031580,Shirley Temple|Richard Greene|Anita Louise
tt0031593,Irene Dunne|Charles Boyer|Maria Ouspenskaya
tt0031679,James Stewart|Jean Arthur|Claude Rains
tt0031725,Greta Garbo|Melvyn Douglas|Ina Claire
tt0031742,Lon Chaney Jr.|Burgess Meredith|Betty Field
tt0031762,Cary Grant|Jean Arthur|Rita Hayworth
tt0031867,James Cagney|Humphrey Bogart|Priscilla Lane
tt0031885,Marcel Dalio|Nora Gregor|Paulette Dubost
tt0031971,John Wayne|Claire Trevor|Andy Devine
tt0032138,Judy Garland|Frank Morgan|Ray Bolger
tt0032143,Norma Shearer|Joan Crawford|Rosalind Russell
tt0032145,Merle Oberon|Laurence Olivier|David Niven
tt0032194,Bette Davis|Charles Boyer|Jeffrey Lynn
tt0032234,Franklin Pangborn|W.C. Fields|Cora Witherspoon|Una Merkel|Evelyn Del Rio
tt0032339,Stan Laurel|Oliver Hardy|Forrester Harvey
tt0032410,Don Ameche|Betty Grable|Carmen Miranda
tt0032475,Buster Crabbe|Carol Hughes|Charles Middleton
tt0032484,Joel McCrea|Laraine Day|Herbert Marshall
tt0032536,Groucho Marx|Chico Marx|Harpo Marx
tt0032551,Henry Fonda|Jane Darwell|John Carradine
tt0032553,Grace Hayle|Charles Chaplin|Paulette Goddard|Jack Oakie|Reginald Gardiner|Henry Daniell
tt0032599,Cary Grant|Rosalind Russell|Ralph Bellamy
tt0032617,William Powell|Myrna Loy|Frank McHugh
tt0032635,Cedric Hardwicke|Vincent Price|Nan Grey
tt0032701,Bette Davis|Herbert Marshall|James Stephenson
tt0032762,Tyrone Power|Linda Darnell|Basil Rathbone
tt0032851,Spencer Tracy|Robert Young|Walter Brennan
tt0032881,William Holden|Martha Scott|Fay Bainter
tt0032904,Cary Grant|Katharine Hepburn|James Stewart
tt0032910,Dickie Jones|Christian Rub|Mel Blanc
tt0032943,Greer Garson|Laurence Olivier|Mary Boland
tt0032976,Laurence Olivier|Joan Fontaine|George Sanders
tt0033045,Margaret Sullavan|James Stewart|Frank Morgan
tt0033149,George Raft|Humphrey Bogart|Ann Sheridan
tt0033152,Conrad Veidt|Sabu|June Duprez
tt0033467,Orson Welles|Joseph Cotten|Dorothy Comingore
tt0033553,Spencer Tracy|Ingrid Bergman|Lana Turner
tt0033563,Sterling Holloway|Edward Brophy|Herman Bing
tt0033712,Robert Montgomery|Claude Rains|Evelyn Keyes
tt0033717,Ida Lupino|Humphrey Bogart|Alan Curtis
tt0033774,Robert Taylor|Lana Turner|Edward Arnold
tt0033804,Barbara Stanwyck|Henry Fonda|Charles Coburn
tt0033836,Bette Davis|Herbert Marshall|Teresa Wright
tt0033852,William Powell|Myrna Loy|Gail Patrick
tt0033870,Humphrey Bogart|Mary Astor|Gladys George
tt0033874,Bette Davis|Ann Sheridan|Monty Woolley
tt0033891,Gary Cooper|Barbara Stanwyck|Edward Arnold
tt0033922,Philip Merivale|Carole Lombard|Robert Montgomery|Gene Raymond
tt0034012,Cary Grant|Irene Dunne|Beulah Bondi
tt0034167,Gary Cooper|Walter Brennan|Joan Leslie
tt0034172,William Powell|Myrna Loy|Barry Nelson
tt0034240,Joel McCrea|Veronica Lake|Robert Warwick
tt0034248,Cary Grant|Joan Fontaine|Cedric Hardwicke
tt0034398,Bela Lugosi|Claude Rains|Warren William|Ralph Bellamy|Patric Knowles
tt0034409,Fred Astaire|Rita Hayworth|Robert Benchley
tt0034492,Hardie Albright|Stan Alexander|Bobette Audrey
tt0034493,Emilio Cigoli|Luciano De Ambrosis|Isa Pola
tt0034583,Humphrey Bogart|Ingrid Bergman|Paul Henreid
tt0034587,Simone Simon|Tom Conway|Kent Smith
tt0034742,John Wayne|John Carroll|Anna Lee
tt0034862,Bing Crosby|Fred Astaire|Marjorie Reynolds
tt0035015,Tim Holt|Joseph Cotten|Dolores Costello
tt0035019,Ginger Rogers|Ray Milland|Rita Johnson
tt0035093,Greer Garson|Walter Pidgeon|Teresa Wright
tt0035140,Bette Davis|Paul Henreid|Claude Rains
tt0035169,Claudette Colbert|Joel McCrea|Mary Astor
tt0035211,Gary Cooper|Teresa Wright|Babe Ruth
tt0035238,Ronald Colman|Greer Garson|Philip Dorn
tt0035262,Bing Crosby|Bob Hope|Dorothy Lamour
